SECNAME,STARTDATE,ORGNAME,F029N,F008N,SECCODE,F049N,ENDDATE,F016N,F025N,F014N,F026N,F003N,F089N,F023N,F056N,F101N,F043N,F044N,F022N,F041N,F052N,F042N
振芯科技,2018-01-01,成都振芯科技股份有限公司,0.436,1.6641,300101,302.381,2018-12-31,1.146,0.314,1.737,5.837,0.028909,443563011.45,1.056,21.022,20085293.87,3.173,165.083,1.259,28.761,0.539,3.984
振芯科技,2019-01-01,成都振芯科技股份有限公司,0.417,1.6642,300101,209.755,2019-12-31,0.287,0.295,0.494,5.496,0.008215,471613448.07,0.897,6.627,5151576.34,2.217,78.023,1.232,32.863,6.324,2.982
乾照光电,2018-01-01,厦门乾照光电股份有限公司,0.341,4.0127,300102,100.356,2018-12-31,3.085,0.176,6.233,0.677,0.250118,1029561966.36,2.019,20.674,179987010.23,1.15,38.615,1.875,54.746,-8.912,1.383
乾照光电,2019-01-01,厦门乾照光电股份有限公司,0.381,3.6722,300102,96.53,2019-12-31,-4.216,0.157,-10.776,0.412,-0.395697,1039240844.4,2.128,8.114,-280007241.28,1.31,48.186,1.652,62.29,0.94,1.563
中航电测,2018-01-01,中航电测仪器股份有限公司,0.968,2.4639,300114,190.194,2018-12-31,7.308,0.65,10.731,3.114,0.264394,1388338960.54,2.496,-6.708,177267339.17,1.953,82.003,3.444,26.788,11.874,2.581
中航电测,2019-01-01,中航电测仪器股份有限公司,1.003,2.7148,300114,155.694,2019-12-31,9.335,0.679,13.245,3.427,0.359564,1544752374.83,2.389,20.598,219537249.99,1.616,81.982,3.307,33.03,11.266,2.214
长盈精密,2018-01-01,深圳市长盈精密技术股份有限公司,1.597,4.8035,300115,61.334,2018-12-31,0.387,0.867,0.88,2.523,0.042276,8625571966.78,3.284,-2.698,8841646.28,0.671,27.402,5.542,53.555,2.3,1.11
长盈精密,2019-01-01,深圳市长盈精密技术股份有限公司,1.612,4.6841,300115,57.049,2019-12-31,0.862,0.89,1.967,2.534,0.092128,8655207884.12,3.068,-1.68,118557464.51,0.635,14.491,5.501,53.618,0.344,1.116
经纬辉开,2018-01-01,天津经纬辉开光电股份有限公司,1.65,4.91,300120,122.681,2018-12-31,4.856,0.744,7.031,3.542,0.345214,2062642336.6,5.937,7.16,136533794.45,1.287,30.38,3.455,30.317,132.119,1.618
经纬辉开,2019-01-01,天津经纬辉开光电股份有限公司,1.517,5.2757,300120,116.435,2019-12-31,4.206,0.714,5.606,3.454,0.295772,2332307829.73,5.597,27.942,130440215.63,1.38,53.044,3.747,31.107,13.074,1.776
银河磁体,2018-01-01,成都银河磁体股份有限公司,0.548,3.7897,300127,997.98,2018-12-31,12.053,0.462,12.771,3.512,0.483985,599073370.15,3.035,0.96,157515037.22,13.355,681.142,3.777,5.579,13.729,15.235
银河磁体,2019-01-01,成都银河磁体股份有限公司,0.55,3.8961,300127,1188.286,2019-12-31,11.145,0.456,11.713,3.522,0.456366,602769831.51,2.855,2.971,148395601.23,12.412,895.364,3.567,5.745,0.617,14.259
锦富技术,2018-01-01,苏州锦富技术股份有限公司,1.424,1.0934,300128,64.899,2018-12-31,-23.735,0.739,-68.833,5.646,-0.752628,2564248851.87,7.056,-22.968,-877465303.29,0.791,20.102,4.008,58.29,-15.132,0.949
锦富技术,2019-01-01,苏州锦富技术股份有限公司,1.114,1.1014,300128,72.235,2019-12-31,0.53,0.568,1.223,3.911,0.013473,1579415067.31,6.275,-15.665,10702528.92,0.858,21.335,3.222,50.193,-38.406,0.983
大富科技,2018-01-01,深圳市大富科技股份有限公司,0.436,6.9707,300134,197.856,2018-12-31,0.36,0.265,0.462,1.325,0.032191,1821491861.86,3.424,-5.827,-2292986.02,2.808,113.219,3.224,19.723,2.372,3.203
