SECNAME,STARTDATE,ORGNAME,F029N,F008N,SECCODE,F049N,ENDDATE,F016N,F025N,F014N,F026N,F003N,F089N,F023N,F056N,F101N,F043N,F044N,F022N,F041N,F052N,F042N
华微电子,2019-01-01,吉林华微电子股份有限公司,0.512,3.224,600360,173.655,2019-12-31,1.282,0.327,2.091,1.746,0.067426,1656485627.44,6.708,31.164,61181443.83,1.751,125.501,3.731,45.96,-3.088,1.861
联创光电,2018-01-01,江西联创光电科技股份有限公司,1.268,5.5158,600363,86.995,2018-12-31,4.832,0.733,9.287,6.42,0.512229,3445562477.86,4.528,20.266,253754315.6,0.999,28.075,3.645,46.372,14.499,1.316
联创光电,2019-01-01,江西联创光电科技股份有限公司,1.342,5.9023,600363,83.209,2019-12-31,3.581,0.8,7.447,7.892,0.439532,4354617984.69,5.349,12.036,221544540.5,0.987,21.741,4.031,48.856,26.383,1.239
动力源,2018-01-01,北京动力源科技股份有限公司,0.609,1.9081,600405,82.674,2018-12-31,-10.231,0.332,-26.13,0.954,-0.498578,909557120.02,2.097,-10.807,-278075286.68,0.883,11.763,1.114,58.325,-25.561,1.153
动力源,2019-01-01,北京动力源科技股份有限公司,0.896,1.8696,600405,76.984,2019-12-31,0.428,0.482,1.058,1.375,0.019771,1244739999.73,2.957,0.167,10479208.94,0.874,8.399,1.534,58.661,36.851,1.061
北方导航,2018-01-01,北方导航控制技术股份有限公司,0.583,1.4267,600435,124.601,2018-12-31,1.001,0.404,2.331,2.178,0.033258,1999010492.67,2.462,0.829,127885458.42,1.343,53.016,2.345,44.156,2.221,1.63
北方导航,2019-01-01,北方导航控制技术股份有限公司,0.655,1.4479,600435,125.951,2019-12-31,0.902,0.464,2.068,2.575,0.029945,2293110040.27,2.948,-0.888,116573219.75,1.408,49.698,2.997,42.478,14.712,1.683
士兰微,2018-01-01,杭州士兰微电子股份有限公司,0.938,2.6126,600460,88.158,2018-12-31,2.371,0.421,4.973,1.32,0.12992,3025857115.44,2.246,29.93,74256106.45,0.94,43.974,3.947,48.399,10.361,1.396
士兰微,2019-01-01,杭州士兰微电子股份有限公司,0.826,2.5753,600460,60.22,2019-12-31,0.171,0.365,0.43,1.146,0.011076,3110573827.93,1.901,9.683,-107311200.83,0.706,31.963,3.79,52.451,2.8,1.126
*ST信威,2018-01-01,北京信威科技集团股份有限公司,0.03,3.1737,600485,147.284,2018-12-31,-14.333,0.025,-40.62,0.906,-1.289169,498962107.28,0.389,-12.21,-2952445668.0,1.536,120.122,0.155,61.082,-22.873,1.638
*ST信威,2019-01-01,北京信威科技集团股份有限公司,0.032,-3.8752,600485,2.618,2019-12-31,-172.858,0.026,null,0.568,-8.200413,273141249.14,0.197,-87.173,-18673422337.86,0.089,1.265,0.234,568.079,-45.258,0.18
烽火通信,2018-01-01,烽火通信科技股份有限公司,1.011,8.5647,600498,73.094,2018-12-31,2.893,0.831,8.431,9.488,0.722049,24235238780.87,1.79,0.308,906888276.13,0.774,22.176,3.581,63.24,15.098,1.342
烽火通信,2019-01-01,烽火通信科技股份有限公司,1.046,9.1663,600498,83.605,2019-12-31,3.225,0.813,8.533,9.458,0.83586,24661976843.46,2.045,7.791,1053848570.92,0.886,27.903,3.24,61.717,1.761,1.424
长园集团,2018-01-01,长园集团股份有限公司,0.829,4.0325,600525,77.941,2018-12-31,0.609,0.389,2.09,3.129,0.084297,7136879227.9,3.05,-2.891,-13981266.95,0.836,21.955,1.918,69.189,0.089,0.996
长园集团,2019-01-01,长园集团股份有限公司,0.847,3.27,600525,77.664,2019-12-31,-6.022,0.441,-20.528,5.337,-0.671255,6415001809.36,3.1,-38.799,-957197250.31,0.861,21.736,1.994,61.815,-10.115,1.031
凯盛科技,2018-01-01,凯盛科技股份有限公司,0.867,3.1451,600552,60.508,2018-12-31,0.763,0.54,1.793,2.318,0.056393,3048213983.28,1.904,14.324,57308299.17,0.725,15.053,2.934,57.005,-14.063,1.231
凯盛科技,2019-01-01,凯盛科技股份有限公司,1.1,3.2599,600552,65.597,2019-12-31,1.492,0.699,3.876,3.172,0.126342,4518311135.46,2.374,14.864,139260423.74,0.847,17.012,3.683,60.679,48.228,1.374
国睿科技,2018-01-01,国睿科技股份有限公司,0.405,2.8526,600562,149.532,2018-12-31,1.362,0.376,2.129,8.336,0.060744,1043296694.49,0.848,6.609,37803794.28,1.558,73.121,2.058,38.044,-9.628,2.496
国睿科技,2019-01-01,国睿科技股份有限公司,0.445,2.9037,600562,132.653,2019-12-31,1.433,0.4,2.302,8.939,0.066845,1160318575.58,0.949,2.655,41601270.37,1.406,53.582,2.098,38.564,11.217,2.32
法拉电子,2018-01-01,厦门法拉电子股份有限公司,0.868,10.9149,600563,220.201,2018-12-31,15.945,0.607,18.399,3.0,2.00825,1721422019.98,3.85,12.726,460071139.2,4.231,30.807,3.457,16.73,1.401,4.779
法拉电子,2019-01-01,厦门法拉电子股份有限公司,0.71,11.6986,600563,386.921,2019-12-31,14.625,0.539,17.322,2.78,2.026426,1680321948.29,3.547,7.601,466478064.16,4.356,124.182,3.233,17.163,-2.388,4.914
长电科技,2018-01-01,江苏长电科技股份有限公司,2.459,7.6689,600584,42.362,2018-12-31,-2.885,0.733,-7.642,1.492,-0.586019,23856487366.62,9.214,12.146,-926640497.23,0.469,25.94,8.489,64.287,0.004,0.593
长电科技,2019-01-01,江苏长电科技股份有限公司,2.299,7.878,600584,33.599,2019-12-31,0.261,0.692,0.702,1.385,0.055315,23526279785.46,8.351,-2.456,96647730.61,0.387,14.558,7.677,62.366,-1.384,0.542
方正科技,2018-01-01,方正科技集团股份有限公司,1.022,1.4719,600601,56.482,2018-12-31,0.497,0.514,1.705,1.565,0.025096,5701051765.85,2.946,-0.901,56220772.96,0.62,21.465,3.522,70.591,11.812,0.857
方正科技,2019-01-01,方正科技集团股份有限公司,1.066,0.8589,600601,37.086,2019-12-31,-12.635,0.555,-70.382,1.666,-0.604517,5829658545.81,2.705,-9.612,-1327723888.37,0.449,12.571,3.657,80.966,2.256,0.738
ST瑞德,2018-01-01,奥瑞德光电股份有限公司,0.456,0.8901,600666,36.204,2018-12-31,-30.199,0.194,-258.115,1.04,-2.297508,1119658541.73,1.038,-39.387,-1742362627.03,0.411,1.535,1.082,84.026,-5.418,0.671
ST瑞德,2019-01-01,奥瑞德光电股份有限公司,0.434,0.6044,600666,28.259,2019-12-31,1.67,0.182,9.051,0.751,0.088585,729804452.13,0.879,-15.286,68094658.5,0.353,5.21,1.044,79.296,-34.819,0.614
太极实业,2018-01-01,无锡市太极实业股份有限公司,1.518,3.0556,600667,83.138,2018-12-31,3.301,0.902,8.902,3.119,0.27202,15651965830.16,6.611,6.108,674662927.07,0.967,46.122,6.435,59.972,30.066,1.217
太极实业,2019-01-01,无锡市太极实业股份有限公司,1.499,3.2416,600667,78.211,2019-12-31,3.281,0.892,9.113,3.167,0.295399,16917427444.07,6.996,12.185,721427796.96,0.963,34.131,5.296,62.246,8.085,1.159
三安光电,2018-01-01,三安光电股份有限公司,0.679,5.2101,600703,177.335,2018-12-31,10.103,0.299,13.319,0.977,0.693934,8364374225.51,2.069,22.002,2830044726.16,1.929,81.285,3.434,30.986,-0.35,2.423
三安光电,2019-01-01,三安光电股份有限公司,0.638,5.3318,600703,102.453,2019-12-31,4.295,0.247,5.971,0.821,0.318375,7460013878.84,1.81,-3.601,1298466700.52,1.547,50.359,3.084,26.736,-10.812,2.229
彩虹股份,2018-01-01,彩虹显示器件股份有限公司,0.16,5.6906,600707,93.522,2018-12-31,0.159,0.05,0.299,0.182,0.017005,1929256246.45,3.922,10.078,48200773.46,1.063,77.202,3.019,48.688,326.064,1.184
彩虹股份,2019-01-01,彩虹显示器件股份有限公司,0.63,5.7087,600707,86.223,2019-12-31,0.159,0.143,0.317,0.295,0.018085,5860061365.33,7.897,4.155,63583212.21,0.995,63.725,6.035,50.439,203.747,1.08
*ST实达,2018-01-01,福建实达集团股份有限公司,1.22,4.1862,600734,84.155,2018-12-31,-3.434,0.869,-10.235,28.073,-0.428467,6759565820.36,10.148,-10.803,-267155730.38,0.993,6.532,1.97,64.422,4.404,1.162
*ST实达,2019-01-01,福建实达集团股份有限公司,0.45,-0.7524,600734,28.787,2019-12-31,-61.218,0.313,null,6.078,-4.895829,1556985105.98,2.491,-64.313,-3047117477.07,0.373,7.167,0.804,117.888,-76.966,0.529
闻泰科技,2018-01-01,闻泰科技股份有限公司,1.789,5.6407,600745,53.57,2018-12-31,0.438,1.245,1.698,21.778,0.095752,17335108186.05,6.553,55.214,72139732.24,0.777,14.494,5.082,77.978,2.476,0.9
闻泰科技,2019-01-01,闻泰科技股份有限公司,1.95,18.8512,600745,78.206,2019-12-31,3.055,1.013,5.916,14.685,1.115237,41578163284.38,10.211,284.435,1379335892.19,0.809,24.829,4.411,67.11,139.849,0.992
中国海防,2018-01-01,中国船舶重工集团海洋防务与信息对抗股份有限公司,1.017,10.1132,600764,166.261,2018-12-31,11.27,0.84,11.881,6.746,1.201564,3536488472.53,2.214,321.15,517894332.2,1.703,75.471,3.808,36.281,874.91,2.552
中国海防,2019-01-01,中国船舶重工集团海洋防务与信息对抗股份有限公司,0.666,6.5829,600764,140.299,2019-12-31,8.923,0.562,15.545,5.441,1.023283,4073965077.03,1.393,12.959,672299198.23,1.447,52.394,2.119,45.89,15.198,2.008
南京熊猫,2018-01-01,南京熊猫电子股份有限公司,1.009,3.7954,600775,118.766,2018-12-31,2.733,0.76,4.67,5.359,0.17723,4500505653.14,5.179,9.163,212534100.27,1.524,58.941,3.938,40.305,7.361,1.877
南京熊猫,2019-01-01,南京熊猫电子股份有限公司,1.046,3.7732,600775,105.906,2019-12-31,0.863,0.764,1.527,4.627,0.057623,4660047001.92,4.696,-2.659,113685623.52,1.522,46.111,4.661,38.73,3.545,1.879
东方通信,2018-01-01,东方通信股份有限公司,0.838,2.4474,600776,317.915,2018-12-31,3.364,0.635,4.145,11.135,0.101435,2404822502.7,2.637,0.829,130328808.67,3.224,155.485,3.084,18.051,-1.332,4.335
东方通信,2019-01-01,东方通信股份有限公司,0.885,2.4934,600776,292.974,2019-12-31,3.398,0.692,4.205,13.24,0.10484,2683202690.49,2.896,3.798,133622248.89,2.98,138.045,2.998,19.573,11.576,4.045
四川长虹,2018-01-01,四川长虹电器股份有限公司,1.665,2.8278,600839,67.528,2018-12-31,0.463,1.193,2.476,12.206,0.070007,83385262868.71,4.998,4.786,660698082.87,0.761,35.322,9.869,70.037,6.683,1.056
四川长虹,2019-01-01,四川长虹电器股份有限公司,1.728,2.8205,600839,64.845,2019-12-31,0.083,1.221,0.465,12.079,0.013119,88792895883.36,5.229,3.471,334321210.68,0.734,39.323,10.55,71.434,6.485,1.056
ST厦华,2018-01-01,厦门华侨电子股份有限公司,0.471,0.016,600870,105.941,2018-12-31,6.358,0.432,54.321,397.63,0.008704,30964936.44,15.284,4.085,5187036.21,1.203,52.349,1.223,82.71,77.732,1.203
ST厦华,2019-01-01,厦门华侨电子股份有限公司,0.511,0.02,600870,78.153,2019-12-31,3.275,0.496,17.982,498.451,0.003591,28439255.2,null,-42.964,1150060.05,1.175,73.007,2.402,79.261,-8.157,1.175
新疆众和,2018-01-01,新疆众和股份有限公司,1.077,4.1525,600888,73.11,2018-12-31,1.764,0.474,5.069,1.164,0.210469,4870971684.44,4.255,2.856,184612181.42,0.86,47.42,14.034,64.953,-18.9,1.074
新疆众和,2019-01-01,新疆众和股份有限公司,0.989,4.2935,600888,66.735,2019-12-31,1.27,0.429,3.161,1.067,0.135722,4747800917.29,4.101,12.23,142001114.57,0.857,44.109,15.674,61.189,-2.529,1.091
*ST美讯,2018-01-01,国美通讯设备股份有限公司,1.466,0.3014,600898,57.904,2018-12-31,-13.155,0.908,-501.738,20.378,-1.51243,2637585197.66,7.394,-11.404,-597191828.15,0.614,11.099,2.707,91.208,19.966,0.696
*ST美讯,2019-01-01,国美通讯设备股份有限公司,0.515,-3.0713,600898,62.665,2019-12-31,-40.195,0.341,null,5.946,-3.370497,721172634.47,5.676,-44.742,-915760748.89,0.664,7.354,0.804,144.881,-72.658,0.699
北矿科技,2018-01-01,北矿科技股份有限公司,0.912,3.7937,600980,209.356,2018-12-31,4.428,0.617,5.867,2.6,0.222554,472352274.16,2.57,-0.126,33874930.97,2.25,94.349,3.198,24.467,8.305,3.181
北矿科技,2019-01-01,北矿科技股份有限公司,0.909,4.0252,600980,178.109,2019-12-31,5.644,0.62,7.27,2.923,0.292638,498539267.5,2.345,10.53,45422279.96,2.095,104.979,3.744,25.234,5.544,2.95
四创电子,2018-01-01,安徽四创电子股份有限公司,1.138,15.0129,600990,75.083,2018-12-31,3.702,0.755,10.767,7.53,1.616398,5246385610.71,4.078,15.436,261732904.34,0.812,27.11,3.325,67.621,3.748,1.082
四创电子,2019-01-01,安徽四创电子股份有限公司,0.779,15.5407,600990,75.012,2019-12-31,1.524,0.504,4.49,4.553,0.697745,3670966927.91,2.458,-4.271,115585280.73,0.834,30.132,2.319,64.966,-30.029,1.141
工业富联,2018-01-01,富士康工业互联网股份有限公司,2.544,3.6707,601138,117.017,2018-12-31,9.681,2.379,23.38,49.959,0.85819,415377697000.0,10.394,34.999,16907557000.0,1.191,48.672,5.046,63.936,17.158,1.484
工业富联,2019-01-01,富士康工业互联网股份有限公司,2.12,4.4967,601138,131.066,2019-12-31,9.161,2.012,20.84,57.4,0.937111,408697581000.0,9.466,2.497,18606048000.0,1.328,57.687,4.787,56.545,-1.608,1.687
环旭电子,2018-01-01,环旭电子股份有限公司,2.024,4.3237,601231,120.715,2018-12-31,6.289,1.789,12.539,21.964,0.542168,33550275008.23,7.405,16.057,1179967596.16,1.24,43.511,4.993,53.304,12.942,1.689
环旭电子,2019-01-01,环旭电子股份有限公司,2.062,4.7156,601231,124.353,2019-12-31,6.001,1.769,12.283,23.156,0.579189,37204188424.22,7.396,8.736,1260107633.49,1.279,56.146,5.012,52.962,10.891,1.675
长飞光纤,2018-01-01,长飞光纤光缆股份有限公司,1.787,10.8035,601869,184.264,2018-12-31,13.505,1.03,18.187,5.769,1.96487,11359764086.0,9.424,40.556,1488030884.0,1.945,80.402,4.722,34.996,9.586,2.243
长飞光纤,2019-01-01,长飞光纤光缆股份有限公司,1.013,11.5954,601869,148.554,2019-12-31,6.01,0.583,9.117,2.742,1.057157,7769175495.0,4.279,6.907,784284972.0,1.611,56.347,2.547,35.089,-31.608,2.083
超频三,2018-01-01,深圳市超频三科技股份有限公司,0.831,2.4265,300647,79.316,2018-12-31,0.842,0.434,1.725,1.618,0.041864,513451585.24,3.471,18.098,27759890.77,0.926,44.719,3.828,53.949,24.886,1.119
超频三,2019-01-01,深圳市超频三科技股份有限公司,0.906,2.5993,300647,74.484,2019-12-31,0.903,0.416,1.881,1.644,0.048886,535534119.3,3.159,1.177,18325314.46,0.818,25.363,2.702,50.376,4.301,0.992
民德电子,2018-01-01,深圳市民德电子科技股份有限公司,0.623,5.0846,300656,200.407,2018-12-31,10.026,0.515,11.678,37.92,0.593769,274572764.82,2.468,38.098,54864070.69,3.694,47.034,3.729,24.606,124.093,4.768
民德电子,2019-01-01,深圳市民德电子科技股份有限公司,0.657,5.0177,300656,498.175,2019-12-31,5.704,0.482,7.281,51.767,0.365312,305372201.35,2.368,5.094,37467652.11,5.072,65.226,2.351,21.941,11.217,5.902
弘信电子,2018-01-01,厦门弘信电子科技集团股份有限公司,1.926,5.7357,300657,79.116,2018-12-31,5.774,1.101,19.772,3.156,1.134074,2248872487.39,10.57,44.363,106323495.53,0.812,25.755,4.637,75.694,52.21,0.964
弘信电子,2019-01-01,厦门弘信电子科技集团股份有限公司,1.284,6.8288,300657,100.561,2019-12-31,6.094,0.831,12.754,3.073,0.870926,2460180588.32,8.391,45.254,171427504.13,1.171,30.654,3.355,57.274,9.396,1.318
圣邦股份,2018-01-01,圣邦微电子（北京）股份有限公司,0.639,11.0204,300661,185.804,2018-12-31,10.35,0.571,11.831,41.916,1.303782,572392694.37,3.665,12.847,103694105.16,5.628,162.774,16.652,17.492,7.693,6.382
圣邦股份,2019-01-01,圣邦微电子（北京）股份有限公司,0.787,10.7645,300661,150.178,2019-12-31,14.336,0.645,15.782,29.385,1.698849,792494891.33,3.022,31.174,174728483.23,4.202,112.388,13.831,19.565,38.453,4.968
江丰电子,2018-01-01,宁波江丰电子材料股份有限公司,0.968,2.8042,300666,83.278,2018-12-31,5.059,0.559,9.586,2.049,0.268827,649683244.58,2.407,63.993,58251762.1,0.856,65.761,5.22,57.354,18.119,1.155
江丰电子,2019-01-01,宁波江丰电子材料股份有限公司,0.956,3.1204,300666,69.311,2019-12-31,4.412,0.567,9.403,2.2,0.293408,824964791.18,2.036,1.488,63746060.34,0.746,37.499,4.856,52.905,26.98,1.232
国科微,2018-01-01,湖南国科微电子股份有限公司,0.471,9.176,300672,118.313,2018-12-31,4.14,0.295,5.477,5.289,0.502583,400107744.17,2.183,49.787,44871265.32,1.286,70.09,2.176,38.198,-2.828,1.475
国科微,2019-01-01,湖南国科微电子股份有限公司,0.576,6.3509,300672,150.566,2019-12-31,3.885,0.31,5.96,7.55,0.378499,542885153.46,2.005,15.545,67451486.38,1.601,94.106,2.327,40.475,35.685,1.94
电连技术,2018-01-01,电连技术股份有限公司,0.451,15.4976,300679,345.846,2018-12-31,6.647,0.372,7.166,4.037,1.110509,1341313955.02,4.844,12.293,239678347.03,7.393,252.535,4.377,10.353,-5.745,7.926
电连技术,2019-01-01,电连技术股份有限公司,0.689,12.2766,300679,415.379,2019-12-31,4.505,0.538,5.244,4.885,0.643827,2160692368.07,5.377,10.219,179452882.93,4.185,171.755,4.979,16.325,61.088,4.75
智动力,2018-01-01,深圳市智动力精密技术股份有限公司,1.321,3.0036,300686,68.352,2018-12-31,0.709,0.676,1.099,2.455,0.033014,650928286.22,4.764,34.901,6828786.63,0.751,27.285,4.646,43.814,14.589,1.059
智动力,2019-01-01,深圳市智动力精密技术股份有限公司,2.636,3.7024,300686,70.697,2019-12-31,8.92,1.202,17.077,3.846,0.632259,1742524833.38,7.438,62.128,161880678.43,0.736,18.991,5.913,53.659,167.698,1.003
澄天伟业,2018-01-01,深圳市澄天伟业科技股份有限公司,0.897,8.4107,300689,258.319,2018-12-31,8.704,0.564,9.585,1.855,0.806146,355127499.71,10.102,9.171,54817900.03,4.895,111.612,3.87,13.007,20.531,5.264
澄天伟业,2019-01-01,深圳市澄天伟业科技股份有限公司,0.949,8.8416,300689,294.206,2019-12-31,6.994,0.512,7.931,1.651,0.701266,349203657.1,8.477,7.417,46133720.13,3.126,150.25,3.1,14.437,-1.668,3.457
联合光电,2018-01-01,中山联合光电科技股份有限公司,1.167,6.0262,300691,116.529,2018-12-31,5.512,0.891,8.568,5.476,0.516301,1168669588.37,4.4,18.161,72318120.94,1.462,37.868,3.946,40.606,25.085,1.88
联合光电,2019-01-01,中山联合光电科技股份有限公司,1.135,4.0188,300691,113.265,2019-12-31,4.79,0.8,8.101,4.453,0.32556,1223788254.31,4.094,15.283,73297988.05,1.23,21.86,3.893,44.736,4.716,1.563
万马科技,2018-01-01,万马科技股份有限公司,0.612,2.8403,300698,88.202,2018-12-31,0.713,0.497,1.126,4.729,0.031988,298549655.05,2.996,11.506,4286337.66,1.748,18.772,1.855,39.967,-12.501,2.042
万马科技,2019-01-01,万马科技股份有限公司,0.801,2.8698,300698,129.36,2019-12-31,0.559,0.665,1.026,7.2,0.029429,469135056.56,4.671,22.65,10980462.71,1.757,23.643,2.078,43.215,57.138,1.995
森霸传感,2018-01-01,森霸传感科技股份有限公司,0.44,5.9671,300701,211.157,2018-12-31,14.628,0.381,14.731,3.98,0.879009,183296707.87,4.214,9.768,70320684.35,17.252,130.959,11.46,5.118,3.308,18.181
森霸传感,2019-01-01,森霸传感科技股份有限公司,0.447,4.5142,300701,1193.153,2019-12-31,15.135,0.377,15.165,4.412,0.684583,204501238.89,4.204,15.769,82150018.02,11.99,152.665,12.796,6.995,11.568,12.591
聚灿光电,2018-01-01,聚灿光电科技股份有限公司,0.537,2.8162,300708,49.472,2018-12-31,0.991,0.272,2.789,1.0,0.078538,558718920.84,3.34,100.428,20371592.85,0.665,25.063,2.849,73.358,-10.021,0.789
聚灿光电,2019-01-01,聚灿光电科技股份有限公司,0.82,2.8087,300708,64.033,2019-12-31,0.3,0.421,1.116,1.331,0.031335,1143205479.89,5.058,-1.793,8144337.9,0.877,22.108,3.617,72.889,104.612,1.004
精研科技,2018-01-01,江苏精研科技股份有限公司,0.933,14.3686,300709,189.067,2018-12-31,2.299,0.545,2.941,1.689,0.422565,882313496.07,5.324,4.353,37185692.43,2.063,90.879,2.864,23.468,-4.334,2.406
精研科技,2019-01-01,江苏精研科技股份有限公司,1.281,16.1198,300709,157.047,2019-12-31,8.91,0.766,11.97,2.279,1.929607,1473002013.81,5.089,32.674,171259760.46,1.579,45.188,3.414,34.731,66.948,1.893
万隆光电,2018-01-01,杭州万隆光电设备股份有限公司,0.552,8.4061,300710,198.342,2018-12-31,2.008,0.478,2.504,12.176,0.210497,343538236.97,2.303,18.619,16351409.05,2.813,41.668,1.359,24.136,-17.895,3.345
万隆光电,2019-01-01,杭州万隆光电设备股份有限公司,0.567,8.5441,300710,227.046,2019-12-31,1.428,0.434,2.087,10.983,0.178324,371857123.99,2.755,19.574,19978191.75,2.332,30.148,1.266,27.459,8.243,2.689
广哈通信,2018-01-01,广州广哈通信股份有限公司,0.346,3.8797,300711,556.698,2018-12-31,2.448,0.315,2.792,5.272,0.108321,200713915.79,0.957,1.41,15619515.89,5.65,339.883,1.275,12.947,-23.164,6.981
广哈通信,2019-01-01,广州广哈通信股份有限公司,0.438,3.3115,300711,341.749,2019-12-31,2.469,0.387,2.973,4.529,0.098439,267116574.91,1.37,14.663,17033413.23,3.447,197.252,1.415,22.239,33.083,4.082
宏达电子,2018-01-01,株洲宏达电子股份有限公司,0.474,3.8823,300726,1349.844,2018-12-31,14.129,0.403,14.356,5.092,0.55734,636314595.16,0.973,13.677,218981003.42,14.194,380.109,1.646,5.799,21.349,17.395
宏达电子,2019-01-01,株洲宏达电子股份有限公司,0.545,4.3877,300726,821.315,2019-12-31,16.04,0.462,16.69,4.584,0.732292,844041676.1,0.923,17.55,309064151.26,8.649,148.477,1.83,8.964,32.645,10.909
光弘科技,2018-01-01,惠州光弘科技股份有限公司,1.276,5.1128,300735,290.925,2018-12-31,13.693,0.801,15.072,2.662,0.770605,1598087540.74,28.329,14.222,273808914.82,4.811,103.691,5.511,14.615,25.428,4.986
光弘科技,2019-01-01,惠州光弘科技股份有限公司,1.635,4.6357,300735,328.539,2019-12-31,17.901,0.914,20.077,2.583,0.930687,2190441020.59,33.791,25.242,416821290.61,3.387,101.871,4.928,18.571,37.066,3.496
明阳电路,2018-01-01,深圳明阳电路科技股份有限公司,1.359,6.7831,300739,124.409,2018-12-31,8.834,0.824,9.673,2.516,0.656157,1131402755.08,6.212,76.699,121257747.27,2.268,74.494,5.718,28.499,7.352,2.57
明阳电路,2019-01-01,深圳明阳电路科技股份有限公司,1.03,4.774,300739,234.256,2019-12-31,7.475,0.646,10.044,2.135,0.479502,1149543078.35,5.99,2.865,132918027.04,2.366,42.586,5.375,26.617,1.603,2.7
天地数码,2018-01-01,杭州天地数码科技股份有限公司,1.657,5.8818,300743,259.338,2018-12-31,7.964,1.014,8.272,3.189,0.486537,405566055.34,4.401,51.607,31742408.95,2.782,166.645,5.593,19.917,7.651,3.548
天地数码,2019-01-01,杭州天地数码科技股份有限公司,1.203,3.9774,300743,214.092,2019-12-31,5.288,0.829,6.785,3.483,0.269882,415402536.37,3.822,7.949,26474669.58,2.238,117.847,4.779,24.903,2.425,2.891
锐科激光,2018-01-01,武汉锐科光纤激光技术股份有限公司,1.066,15.8935,300747,245.212,2018-12-31,27.429,0.927,21.261,9.424,3.379101,1462026640.5,3.334,211.264,439932141.31,6.562,114.206,10.788,13.956,53.625,7.546
锐科激光,2019-01-01,武汉锐科光纤激光技术股份有限公司,0.872,11.9561,300747,203.443,2019-12-31,12.07,0.746,14.167,8.698,1.693783,2010159217.1,3.473,25.763,338443907.39,3.334,57.671,6.278,20.695,37.491,4.283
隆利科技,2018-01-01,深圳市隆利科技股份有限公司,1.608,10.9883,300752,157.968,2018-12-31,14.553,1.395,20.256,13.085,2.225727,1550229841.39,6.827,114.088,161724003.93,1.612,82.5,4.78,47.296,70.665,1.891
隆利科技,2019-01-01,深圳市隆利科技股份有限公司,1.185,6.7765,300752,98.774,2019-12-31,4.996,0.996,10.513,8.132,0.71242,1701423451.8,5.448,25.465,85313921.85,1.134,41.714,3.583,57.305,9.753,1.444
上海瀚讯,2018-01-01,上海瀚讯信息技术股份有限公司,0.488,6.1345,300762,199.076,2018-12-31,11.29,0.469,16.724,45.112,1.025944,425756799.24,1.209,31.145,101163704.47,2.149,33.173,1.414,40.27,10.281,2.441
上海瀚讯,2019-01-01,上海瀚讯信息技术股份有限公司,0.416,9.1329,300762,216.665,2019-12-31,8.544,0.405,9.453,56.861,0.863316,545969894.63,1.386,61.373,112368411.02,3.412,93.973,1.206,26.822,28.235,3.816
卓胜微,2018-01-01,江苏卓胜微电子股份有限公司,1.408,6.3374,300782,497.492,2018-12-31,35.895,1.239,34.153,25.796,2.164439,560190021.25,2.41,49.169,160375944.55,5.451,423.506,24.656,12.75,-5.317,7.599
卓胜微,2019-01-01,江苏卓胜微电子股份有限公司,1.338,17.0311,300782,652.084,2019-12-31,40.345,1.227,29.192,29.555,4.9717,1512394554.11,2.872,255.155,494456758.23,6.787,228.272,7.138,11.732,169.979,8.539
海能实业,2018-01-01,安福县海能实业股份有限公司,2.282,7.9327,300787,121.999,2018-12-31,15.237,1.477,23.087,6.502,1.831409,1130278375.33,6.208,22.258,116587520.38,1.276,33.476,10.012,40.008,26.19,1.732
海能实业,2019-01-01,安福县海能实业股份有限公司,1.453,13.295,300787,238.335,2019-12-31,10.04,0.933,10.523,3.984,1.398957,1103595447.29,5.246,80.994,118743427.77,2.438,163.016,4.678,25.931,-2.361,2.932
宇瞳光学,2018-01-01,东莞市宇瞳光学科技股份有限公司,1.789,7.1668,300790,72.941,2018-12-31,8.614,0.876,15.966,2.758,1.144282,997688906.88,3.131,30.709,98072121.2,0.773,7.552,4.792,52.389,29.566,1.31
宇瞳光学,2019-01-01,东莞市宇瞳光学科技股份有限公司,1.348,10.4242,300790,53.33,2019-12-31,6.062,0.722,8.681,2.544,0.904928,1231066880.4,3.725,64.462,103420827.6,1.073,17.927,4.411,43.851,23.392,1.365
佳禾智能,2018-01-01,佳禾智能科技股份有限公司,1.694,4.5357,300793,107.783,2018-12-31,10.199,1.244,19.47,6.002,0.883085,1346991934.97,4.002,11.693,110349084.55,1.147,56.579,5.881,50.308,10.59,1.711
佳禾智能,2019-01-01,佳禾智能科技股份有限公司,1.824,7.1741,300793,135.683,2019-12-31,7.645,1.429,10.098,9.297,0.724469,2257323513.63,5.233,76.583,120748033.86,1.435,68.652,7.129,40.71,67.583,1.99
矩子科技,2018-01-01,上海矩子科技股份有限公司,1.379,5.2954,300802,214.311,2018-12-31,19.731,0.916,24.967,3.536,1.322069,460405438.29,3.155,27.492,106087723.5,2.213,87.801,3.922,24.042,30.357,2.915
矩子科技,2019-01-01,上海矩子科技股份有限公司,0.632,9.4461,300802,627.911,2019-12-31,10.307,0.505,9.152,3.554,0.864486,423247957.2,2.59,97.826,92426566.95,6.426,488.735,2.997,11.855,-8.071,7.202
天迈科技,2018-01-01,郑州天迈科技股份有限公司,0.899,6.7954,300807,200.109,2018-12-31,11.046,0.693,16.859,9.14,1.14562,365343579.99,3.444,24.374,58339313.35,2.045,89.021,2.116,40.893,12.377,2.376
